eSLDB code	Original Database Code	SwissProt entry	SwissProt homologue	Prediction
CE000022674	C01G12.8	None	ATNA_DROME	Transmembrane
CE000022674	C01G12.8	None	AT1A2_RAT	Transmembrane
CE000022674	C01G12.8	None	AT1A1_HORSE	Transmembrane
CE000018756	Y73F8A.3	None	None	Transmembrane
CE000010283	C18C4.5b	None	BPA1_HUMAN	Cytoplasm
CE000011436	K01C8.2	None	None	Nucleus
CE000013675	C55B6.5	None	None	Nucleus
CE000020688	F54D5.4.1	None	None	Secretory
CE000020689	F54D5.4.2	None	None	Nucleus
CE000025860	R160.7	None	RUFY1_HUMAN	Nucleus
CE000023535	T14G12.6	None	None	Cytoplasm
CE000004875	F22E10.2	None	MDR3_CAEEL	Transmembrane
CE000004875	F22E10.2	None	MDR49_DROME	Transmembrane
CE000004875	F22E10.2	None	MDR3_MOUSE	Transmembrane
CE000004875	F22E10.2	None	ABCBB_RABIT	Transmembrane
CE000004875	F22E10.2	None	MDR2_CRIGR	Transmembrane
CE000000616	DC2.7a	None	CHK1_DROME	Nucleus
CE000019175	Y48G1C.6	None	CENPB_MOUSE	Nucleus
CE000021285	T22C1.3	None	None	Transmembrane
CE000000957	C41G11.4a	None	GNRR2_CLAGA	Transmembrane
CE000020986	T19D7.5	None	None	Transmembrane
CE000010755	F32B4.8	None	None	Secretory
CE000012590	C18D4.9	None	None	Transmembrane
CE000001511	F35C11.4	None	None	Transmembrane
CE000017537	R05G9.2b	None	KCNKG_HUMAN	Transmembrane
CE000023522	F47B10.8	None	None	Transmembrane
CE000009349	Y47G6A.4	None	None	Cytoplasm
CE000021949	Y6B3B.4	None	None	Secretory
CE000000839	Y80D3A.1	None	None	Cytoplasm
CE000018391	Y54G2A.44	None	None	None
CE000000360	K10H10.1	None	NPT1_RABIT	Transmembrane
CE000016441	Y69E1A.6	None	None	Transmembrane
CE000010577	Y87G2A.8a.2	None	G6PI_PIG	Transmembrane
CE000010576	Y87G2A.8a.1	None	G6PI_MOUSE	Transmembrane
CE000010578	Y87G2A.8a.3	None	G6PI_PIG	Transmembrane
CE000010577	Y87G2A.8a.2	None	G6PI_RABIT	Transmembrane
CE000010576	Y87G2A.8a.1	None	G6PI_PIG	Transmembrane
CE000010576	Y87G2A.8a.1	None	G6PI_RABIT	Transmembrane
CE000010578	Y87G2A.8a.3	None	G6PI_MOUSE	Transmembrane
CE000010576	Y87G2A.8a.1	None	G6PI_HUMAN	Transmembrane
CE000010578	Y87G2A.8a.3	None	G6PI_RABIT	Transmembrane
CE000010578	Y87G2A.8a.3	None	G6PI_HUMAN	Transmembrane
CE000010577	Y87G2A.8a.2	None	G6PI_MOUSE	Transmembrane
CE000010577	Y87G2A.8a.2	None	G6PI_HUMAN	Transmembrane
CE000011237	F47G4.2	None	None	Cytoplasm
CE000004075	Y47D3A.32	None	None	Transmembrane
CE000016719	T06A10.2	None	None	Cytoplasm
CE000007355	C08G9.2	None	TFPI1_HUMAN	Transmembrane
CE000014496	W06D11.1	None	None	Mitochondrion
CE000011965	K07D4.7a	None	ITSN2_HUMAN	Secretory
CE000022713	F21A10.2c	None	None	Transmembrane
CE000020548	Y62E10A.16	None	GMCL1_MOUSE	Secretory
CE000020049	ZC13.2	None	None	Transmembrane
CE000022828	Y40B1A.4	None	SP3_MOUSE	Cytoplasm
CE000022828	Y40B1A.4	None	SP3_HUMAN	Cytoplasm
CE000024422	F32A7.7	None	None	Transmembrane
CE000025996	F53A9.5	None	FMAR_DROME	Transmembrane
CE000011898	T05A7.2	None	PLA2R_BOVIN	Secretory
CE000016998	C46F11.2b.1	None	GSHR_MOUSE	Cytoplasm
CE000016996	C46F11.2b.2	None	GSHR_MOUSE	Nucleus
CE000018862	W10C6.2	None	None	None
CE000011255	F22B7.5a.1	None	TID_DROME	Nucleus
CE000011256	F22B7.5a.2	None	TID_DROME	Nucleus
CE000013478	R11A8.2	None	None	Nucleus
CE000010784	C01G5.8	None	None	Cytoplasm
CE000017807	T10H4.9	None	MTR1L_SHEEP	Transmembrane
CE000015958	ZK856.6	None	None	Secretory
CE000022658	Y48E1C.1b	None	None	Secretory
CE000015743	T06C12.10.2	None	CEGT_RAT	Transmembrane
CE000015742	T06C12.10.1	None	CEGT_RAT	Transmembrane
CE000011234	F47G4.8	None	None	Transmembrane
CE000011771	C35B1.3	None	None	Transmembrane
CE000003406	Y71G10AR.1	None	NTCP2_RABIT	Transmembrane
CE000003406	Y71G10AR.1	None	NTCP2_CRIGR	Transmembrane
CE000006692	F57G9.2	SRE30_CAEEL	None	Transmembrane
CE000000851	C44H9.5	None	None	Cytoplasm
CE000012588	F33D4.6a	None	None	Secretory
CE000017881	ZK669.4.2	None	ODB2_MOUSE	Cytoplasm
CE000017882	ZK669.4.1	None	ODB2_MOUSE	Mitochondrion
CE000014269	T20B12.6b	None	WBS14_HUMAN	Cytoplasm
CE000022215	C07A4.3	None	GAPR1_HUMAN	Nucleus
CE000001994	K05F1.10	None	None	Cytoplasm
CE000020526	F11E6.2	None	None	Secretory
CE000019855	F41A4.1	None	None	Cytoplasm
CE000001096	F09C6.5	None	ANT3_PONPY	Cytoplasm
CE000001096	F09C6.5	None	SPB9_HUMAN	Cytoplasm
CE000001816	T06C10.6	None	FER_HUMAN	Nucleus
CE000003626	Y5F2A.3	None	PTN2_MOUSE	Secretory
CE000020565	C36C5.9	None	None	Transmembrane
CE000001313	B0252.1	None	FGFR2_DROME	Transmembrane
CE000006433	C50F2.8	None	MPP6_MOUSE	Nucleus
CE000022074	T11F9.13	None	None	Cytoplasm
CE000019324	Y53C12B.2	None	None	Secretory
CE000009533	C12D5.3	None	None	Cytoplasm
CE000022511	C44B7.8	None	ABCD3_MOUSE	Transmembrane
CE000022511	C44B7.8	None	ABCD3_HUMAN	Transmembrane
CE000022511	C44B7.8	None	ABCD3_RAT	Transmembrane
CE000006300	F09F7.6	None	None	Cytoplasm
CE000019498	ZK470.2c	None	None	Nucleus
CE000013925	C14B4.2	None	None	Cytoplasm
CE000021096	Y39H10B.1	None	None	Transmembrane
CE000010965	C35A5.1	None	AQP8_RAT	Transmembrane
CE000010965	C35A5.1	None	AQP8_MOUSE	Transmembrane
CE000013170	ZK337.4	None	None	Secretory
CE000023021	C25E10.3a	None	None	Transmembrane
CE000003018	Y73C8B.1	None	None	Secretory
CE000023876	F26D10.12	None	None	Nucleus
CE000001072	ZC482.5	None	GBRG2_MOUSE	Transmembrane
CE000020098	F53B6.7	None	STS2_HUMAN	Nucleus
CE000004008	C27C12.7	None	DPP4_PIG	Transmembrane
CE000015190	C24G6.4	NHR47_CAEEL	HNF4_DROME	Cytoplasm
CE000012095	Y97E10B.3	None	None	Transmembrane
CE000008228	E01G6.2	None	None	Secretory
CE000022801	T13F2.11	None	VAPA_HUMAN	Secretory
CE000011748	Y39A1A.6	None	None	Nucleus
CE000003170	F19G12.7	None	None	Cytoplasm
CE000023040	C32E8.10d	None	PICA_CAEEL	Nucleus
CE000019376	F52C6.14	None	None	Cytoplasm
CE000024593	ZK697.4	None	None	Transmembrane
CE000007767	ZK1290.7	None	None	Nucleus
CE000011069	T05A10.1f	None	ZEP1_HUMAN	Nucleus
CE000013244	F35B3.1	None	None	Secretory
CE000013818	T01H10.6	None	YZN4_CAEEL	Transmembrane
CE000009757	K04F10.4c	None	FURIN_RAT	Mitochondrion
CE000011186	F47H4.8	None	None	Secretory
CE000015951	F08G2.2	None	H2A_CAEEL	Cytoplasm
CE000005034	ZK131.6	None	H2A_CAEEL	Nucleus
CE000012057	T10C6.12	None	H2A_CAEEL	Secretory
CE000020930	F55G1.10	None	H2A_CAEEL	Nucleus
CE000000866	F17E9.13	None	H2A_CAEEL	Cytoplasm
CE000014595	F07B7.3	None	H2A_CAEEL	Mitochondrion
CE000007018	T23D8.6	None	H2A_CAEEL	Secretory
CE000017492	K06C4.3	None	H2A_CAEEL	Secretory
CE000002180	F45F2.4	None	H2A_CAEEL	Mitochondrion
CE000003367	K06C4.11	None	H2A_CAEEL	Nucleus
CE000019369	F07B7.10	None	H2A_CAEEL	Cytoplasm
CE000007360	H02I12.7	None	H2A_CAEEL	Cytoplasm
CE000005175	ZK131.10	None	H2A_CAEEL	Nucleus
CE000015580	F54E12.5	None	H2A_CAEEL	Mitochondrion
CE000020578	F35H10.1	None	H2A_CAEEL	Nucleus
CE000019048	B0035.7	None	H2A_CAEEL	Secretory
CE000004504	F32B6.8b.1	None	TBC10_HUMAN	Transmembrane
CE000004503	F32B6.8b.2	None	TBC10_HUMAN	Transmembrane
CE000022230	C05D11.7a.1	None	ADPN_HUMAN	Transmembrane
CE000022227	C05D11.7a.2	None	ADPN_HUMAN	Transmembrane
CE000009837	F13H8.10b	None	BPL1_HUMAN	Nucleus
CE000013956	T28D9.3c	None	LPP2_RAT	Transmembrane
CE000004149	E01A2.2a	None	None	Mitochondrion
CE000024102	EEED8.5	MOG5_CAEEL	DHX15_HUMAN	Nucleus
CE000024102	EEED8.5	MOG5_CAEEL	DHX8_HUMAN	Nucleus
CE000024102	EEED8.5	MOG5_CAEEL	DHX16_PANTR	Nucleus
CE000024102	EEED8.5	MOG5_CAEEL	DHX16_HUMAN	Nucleus
CE000024102	EEED8.5	MOG5_CAEEL	DHX15_MOUSE	Nucleus
CE000021748	F15A8.1	None	None	Secretory
CE000005757	Y102A11A.8	None	FGRL1_HUMAN	Transmembrane
CE000011172	F49E11.3	AMT2_CAEEL	None	Transmembrane
CE000013920	F35E2.3	None	None	Cytoplasm
CE000022985	H04M03.1	None	PPCKC_MOUSE	Cytoplasm
CE000019157	Y105C5A.14	None	None	Cytoplasm
CE000009572	T15D6.8	None	None	Cytoplasm
CE000016798	F37C4.7	None	None	Transmembrane
CE000010519	F58B4.1b	NAS31_CAEEL	BP10_PARLI	Secretory
CE000014072	C33B4.4	None	None	Cytoplasm
CE000025042	F54E7.2.2	None	RS12_CHICK	Secretory
CE000025043	F54E7.2.1	None	RS12_CHICK	Nucleus
CE000000835	C05E11.4	AMT1_CAEEL	None	Transmembrane
CE000012129	C07E3.10	None	None	Transmembrane
CE000005182	Y69H2.7	None	None	Nucleus
CE000017702	W06B4.2	None	None	Cytoplasm
CE000012092	Y97E10B.7	None	NCKX6_MOUSE	Transmembrane
CE000001695	Y69F12A.2b	None	AL9A1_RAT	Secretory
CE000006398	F11E6.10	None	None	Transmembrane
CE000017845	K11G12.4a	NRAML_CAEEL	None	Transmembrane
CE000011473	C06E2.7	None	UBC1_BOVIN	Cytoplasm
CE000001405	Y54E10A.9c	None	DDX3Y_MOUSE	Cytoplasm
CE000001405	Y54E10A.9c	None	DDX3Y_HUMAN	Cytoplasm
CE000015578	C44F1.2	None	GMEB1_MOUSE	Secretory
CE000003808	F44E7.5b	None	None	Nucleus
CE000007513	K03H6.1	None	GALR3_MOUSE	Transmembrane
CE000022917	W01C9.4	None	DECR_HUMAN	Cytoplasm
CE000011574	F08F8.9b	None	None	Secretory
CE000000766	F56D1.7	None	BOLL_MOUSE	Secretory
CE000001939	F17C8.4.1	None	RIT2_MOUSE	Nucleus
CE000001937	F17C8.4.2	None	RIT2_MOUSE	Cytoplasm
CE000001938	F17C8.4.3	None	RIT2_MOUSE	Cytoplasm
CE000016781	C41C4.2	SRE2_CAEEL	None	Transmembrane
CE000021671	F12B6.2d	None	NPT1_RABIT	None
CE000001468	T14G10.4	None	None	Nucleus
CE000008821	T28B8.5	None	DEGW_CAEEL	Transmembrane
CE000003934	T16H12.9	None	None	Mitochondrion
CE000003937	K09A9.6	None	ASPH_BOVIN	Secretory
CE000016565	F14E5.2b	None	GSLG1_CHICK	Transmembrane
CE000021335	F48D6.4c	None	None	Nucleus
CE000020416	F38B6.4	None	None	Secretory
CE000012826	T26A5.1	None	WHITE_DROME	Transmembrane
CE000001983	ZK973.8	None	None	Mitochondrion
CE000002078	C27B7.5	None	None	Nucleus
CE000022290	F21D9.3	None	None	Nucleus
CE000012072	F59C12.2a	None	5HT2B_TETFL	None
CE000001057	F22B5.10.2	None	TMCO1_HUMAN	Transmembrane
CE000001058	F22B5.10.1	None	TMCO1_HUMAN	Transmembrane
CE000000769	ZC410.7b	None	RT32_HUMAN	Secretory
CE000009897	M01B12.4c	None	None	Secretory
CE000021206	F29A7.6	None	None	Nucleus
CE000022941	H06I04.4a.3	None	UBIQ_GEOCY	Cytoplasm
CE000022942	H06I04.4a.2	None	UBIQ_CAEEL	Cytoplasm
CE000022942	H06I04.4a.2	None	UBIQ_GEOCY	Cytoplasm
CE000022941	H06I04.4a.3	None	UBIQ_CAEEL	Cytoplasm
CE000022943	H06I04.4a.1	None	UBIQ_GEOCY	Mitochondrion
CE000022943	H06I04.4a.1	None	UBIQ_CAEEL	Mitochondrion
CE000010637	Y48G8AL.13.1	None	None	Transmembrane
CE000010638	Y48G8AL.13.3	None	None	Transmembrane
CE000010639	Y48G8AL.13.2	None	None	Transmembrane
CE000007091	B0212.6	None	None	None
CE000006883	F45C12.10	None	None	Cytoplasm
CE000004811	W05H7.2	None	None	Transmembrane
CE000001225	F22D3.4	None	None	Nucleus
CE000020411	K12B6.3	None	None	Nucleus
CE000003782	C47F8.4	None	B3GA1_RAT	Nucleus
CE000009204	C25D7.15	None	None	Nucleus
CE000018780	VF11C1L.1	None	FYV1_HUMAN	Secretory
CE000000215	T25F10.4	None	None	Transmembrane
CE000012812	C54G10.3	None	ABCD4_MOUSE	Transmembrane
CE000025305	C32B5.14	None	None	Secretory
CE000009232	C10C6.3	None	None	Cytoplasm
CE000003828	F29G9.7	None	None	Secretory
CE000007798	C50H11.14	None	None	Transmembrane
CE000014716	F20D12.1	None	I2C2_HUMAN	Mitochondrion
CE000019740	F55F1.2	None	None	Nucleus
CE000010923	ZK1248.3b	None	EP15R_MOUSE	Cytoplasm
CE000000569	K09E9.2.1	None	ERGI3_HUMAN	Transmembrane
CE000004562	K09E9.2.2	None	ERGI3_HUMAN	Transmembrane
CE000018918	Y45F3A.8	None	None	Secretory
CE000015805	W02B12.9	MFRN_CAEEL	MFRN2_HUMAN	Transmembrane
CE000014157	F13B9.2	None	None	Cytoplasm
CE000024677	R10E9.2	None	None	Secretory
CE000002611	F17E9.1	None	None	Cytoplasm
CE000004674	K05D4.4	None	CP2C7_RAT	Cytoplasm
CE000010763	ZK6.7b	None	LIPG_HUMAN	Mitochondrion
CE000007981	T08E11.5	None	None	Cytoplasm
CE000016052	C26B2.5	None	None	Secretory
CE000004377	F41H8.4	None	None	Transmembrane
CE000015775	Y17G7B.14	None	None	Secretory
CE000018462	T24D8.2	None	None	Secretory
CE000015754	C05B5.1	None	None	Secretory
CE000009076	C14B1.2	None	None	Transmembrane
CE000012899	F16H6.2	None	KLRBB_MOUSE	Secretory
CE000022748	R166.5a	None	MKNK1_HUMAN	Nucleus
CE000024787	C49H3.9	None	None	Secretory
CE000016945	K02F2.6	None	GPR9_BALAM	Transmembrane
CE000020050	K08D9.5	None	None	Cytoplasm
CE000000135	W02C12.3e.1	None	MITF_HUMAN	None
CE000020776	F22E5.11	None	KCD13_HUMAN	Transmembrane
CE000022468	R06A4.10b	None	ACH3_CAEEL	Transmembrane
CE000014368	M60.7	None	TNKS2_HUMAN	Cytoplasm
CE000024758	C37A5.9	None	None	Secretory
CE000017770	T14A8.1	None	None	Transmembrane
CE000018451	E01A2.5	None	None	Secretory
CE000007797	C50H11.17	None	None	Cytoplasm
CE000013894	R07E5.14.1	None	RBM8A_HUMAN	Cytoplasm
CE000015340	R07E5.14.2	None	RBM8A_HUMAN	Nucleus
CE000014487	W06A7.3b	None	RTN4_HUMAN	Transmembrane
CE000015540	T06H11.2	None	None	Cytoplasm
CE000002289	Y55F3C.2	None	None	Transmembrane
CE000015596	T24A6.16	None	None	Nucleus
CE000000698	ZK1151.1g	None	MACF1_HUMAN	Cytoplasm
CE000020563	C36C5.7	None	None	Transmembrane
CE000005642	F53B1.2.1	SMSR1_CAEEL	SMS2_HUMAN	Transmembrane
CE000008491	F12D9.1b	None	None	Transmembrane
CE000017191	C27D6.1	None	LAMA2_HUMAN	Secretory
CE000012535	ZK643.3	ZK643_CAEEL	PTHR1_PIG	Transmembrane
CE000025212	R11H6.2.1	None	SERC1_MOUSE	None
CE000025213	R11H6.2.2	None	SERC1_MOUSE	None
CE000020556	R02E12.8	None	ACH1_CAEEL	Transmembrane
CE000016924	R09E10.2	None	None	Secretory
CE000011564	ZC204.15	None	None	Transmembrane
CE000000151	F17C11.9b	None	None	Secretory
CE000021442	C25D7.2	None	None	Mitochondrion
CE000021802	Y37E11AR.4	None	None	Secretory
CE000021289	F15B10.2.1	None	DDX58_HUMAN	Cytoplasm
CE000021290	F15B10.2.2	None	DDX58_HUMAN	Cytoplasm
CE000025862	R01H10.3a.1	None	COR1B_HUMAN	Cytoplasm
CE000025863	R01H10.3a.2	None	COR1B_HUMAN	Cytoplasm
CE000018952	F42H10.6.2	None	None	Nucleus
CE000018953	F42H10.6.1	None	None	Nucleus
CE000007821	F49C5.3	None	None	Nucleus
CE000023259	F56F4.6	None	ABCA4_HUMAN	Secretory
CE000010124	Y54G11A.12	None	None	Transmembrane
CE000000791	EEED8.14	None	None	Nucleus
CE000016078	T22H6.6	None	CIC_DROME	Nucleus
CE000024498	Y38F2AR.8	None	SPG7_HUMAN	Transmembrane
CE000007606	C34G6.5	None	PAKM_DROME	Mitochondrion
CE000019090	T08G2.2	None	None	Secretory
CE000019887	Y38H6C.10	None	None	Cytoplasm
CE000018036	T24F1.3b.2	None	RASF1_HUMAN	None
CE000018037	T24F1.3b.3	None	RASF1_HUMAN	None
CE000018038	T24F1.3b.1	None	RASF1_HUMAN	None
CE000013678	W02D3.6	None	ADT1_ANOGA	Transmembrane
CE000019315	Y48B6A.6b	None	None	Nucleus
CE000015687	W06F12.2c	None	None	Transmembrane
CE000020544	Y57G11C.41	None	None	Mitochondrion
CE000001914	F12A10.6	None	None	Nucleus
CE000013800	K04C1.4	None	CETN1_HUMAN	Cytoplasm
CE000010733	C29F9.10	None	None	Cytoplasm
CE000008573	C14C10.5	None	None	Cytoplasm
CE000005197	F40F8.4	None	None	Nucleus
CE000022132	C47D12.6a	SYTC_CAEEL	SYTC_HUMAN	Cytoplasm
CE000022132	C47D12.6a	SYTC_CAEEL	SYTC_RAT	Cytoplasm
CE000022132	C47D12.6a	SYTC_CAEEL	SYTC_MOUSE	Cytoplasm
CE000007231	F56C9.5	None	PECI_HUMAN	Cytoplasm
CE000012249	F32E10.4.1	IMA3_CAEEL	IMA3_CAEEL	Cytoplasm
CE000012248	F32E10.4.2	IMA3_CAEEL	IMA3_CAEEL	Cytoplasm
CE000024774	C02D4.2c	None	SER2_CAEEL	Transmembrane
CE000008612	F46C8.7	None	None	Cytoplasm
CE000016331	C17C3.12a	None	ACDSB_RAT	Secretory
CE000011640	K09E4.6	None	None	Nucleus
CE000022615	T21E3.1	None	LAR_CAEEL	Nucleus
CE000020764	F11C7.3b	None	CRVP_TRIJE	Nucleus
CE000004845	F57G8.3	None	None	Transmembrane
CE000025476	F29C4.1a	DAF1_CAEEL	DAF1_CAEEL	Transmembrane
CE000010596	K02F2.1a	None	DPP9_HUMAN	Cytoplasm
CE000000943	T12B5.2	None	None	Nucleus
CE000025451	T05G5.12	None	None	Cytoplasm
CE000018453	E01A2.7	None	PON1_MOUSE	Secretory
CE000018863	W10C6.1	None	None	Transmembrane
CE000016187	H39E23.2	None	None	Nucleus
CE000013108	F39B3.2	None	FMAR_DROME	Transmembrane
CE000019205	R04A9.3	None	None	Nucleus
CE000004405	T21C9.6	None	None	Mitochondrion
CE000002587	Y43B11AR.2	None	None	Transmembrane
CE000014561	Y43F8B.9	None	None	Cytoplasm
CE000024586	F09G2.9.1	None	None	Nucleus
CE000024587	F09G2.9.2	None	None	Secretory
CE000005816	K03H4.1	None	None	Secretory
CE000010888	ZK337.2	None	XFIN_XENLA	Secretory
CE000025691	F32A11.1	None	None	Cytoplasm
CE000014283	Y44A6D.3	None	None	Cytoplasm
CE000005127	C18B12.2	None	CRFR1_MACMU	Transmembrane
CE000005360	C56E10.4a	None	RARA_NOTVI	Nucleus
CE000025669	C50E10.6	None	None	Transmembrane
CE000005941	K10G9.2	None	None	Secretory
CE000008233	K01A2.8a	None	None	Transmembrane
CE000020613	Y39B6A.37	None	None	Secretory
CE000025299	Y71H10B.1c	None	5NTC_HUMAN	Secretory
CE000018675	Y75B8A.30	None	PP4C_RABIT	Cytoplasm
CE000025120	ZK783.5	None	PTP69_DROME	Secretory
CE000002425	Y17G7B.5a	None	MCM2_XENLA	Cytoplasm
CE000022385	C13A2.6	None	None	Transmembrane
CE000021473	F56C3.2	None	None	Cytoplasm
CE000007329	H12C20.5	None	None	Transmembrane
CE000018436	Y22D7AR.4	None	None	Nucleus
CE000012853	C07G3.9	None	UD11_RAT	Transmembrane
CE000015375	F54D8.5	None	None	Transmembrane
CE000019045	C50B6.4	None	None	Transmembrane
CE000009847	T06E4.6	None	None	Transmembrane
CE000006381	C53A5.5	None	KCNN3_HUMAN	Transmembrane
CE000006381	C53A5.5	None	KCNN3_RAT	Transmembrane
CE000017786	C03A7.6	None	None	Transmembrane
CE000007965	C26E1.1	None	None	Cytoplasm
CE000002013	R11F4.1.1	None	GLPK_HUMAN	Cytoplasm
CE000002012	R11F4.1.2	None	GLPK_HUMAN	Nucleus
CE000016930	W09D10.1.1	None	SMP1L_MOUSE	Nucleus
CE000016929	W09D10.1.2	None	SMP1L_MOUSE	Nucleus
CE000016071	Y59A8B.24	None	None	Nucleus
CE000004528	K09C6.9	None	None	Cytoplasm
CE000021621	ZK185.2	None	None	Transmembrane
CE000021918	F13B10.2c	None	RL3_CAEEL	Secretory
CE000000155	C50E3.11	FOLT2_CAEEL	S19A2_HUMAN	Transmembrane
CE000000155	C50E3.11	FOLT2_CAEEL	S19A1_HUMAN	Transmembrane
CE000022030	K06A5.7.2	None	MPIP2_HUMAN	Secretory
CE000022029	K06A5.7.1	None	MPIP2_HUMAN	Secretory
CE000005738	F33E11.5	None	SAYP_DROME	Cytoplasm
CE000023357	F42G8.5	None	None	Transmembrane
CE000012820	T08B1.4	None	None	Nucleus
CE000004067	W04G5.9	None	None	Secretory
CE000011927	ZC412.9	None	None	Nucleus
CE000007367	H05B21.3	None	None	Transmembrane
CE000010015	B0261.4	None	RM47_HUMAN	Transmembrane
CE000020476	F27D4.2.1	None	None	Secretory
CE000020478	F27D4.2.3	None	None	Nucleus
CE000020477	F27D4.2.2	None	None	Secretory
CE000020475	F27D4.2.4	None	None	Secretory
CE000011689	F43H9.4	None	None	Mitochondrion
CE000000614	ZC506.3.3	None	PTSS1_HUMAN	Transmembrane
CE000000615	ZC506.3.1	None	PTSS1_HUMAN	Transmembrane
CE000022241	H28G03.2c.1	None	None	Nucleus
CE000022242	H28G03.2c.2	None	None	Cytoplasm
CE000020380	F46F2.2a.1	None	KC1D_HUMAN	None
CE000020381	F46F2.2a.2	None	KC1D_RAT	None
CE000020380	F46F2.2a.1	None	KC1D_RAT	None
CE000020381	F46F2.2a.2	None	KC1D_HUMAN	None
CE000013050	Y57G7A.12	None	None	Transmembrane
CE000008854	ZK1321.2e	None	KCNAS_DROME	Transmembrane
CE000006611	F33H1.3	None	None	Cytoplasm
CE000020061	C56G2.15	None	NAT6_HUMAN	Cytoplasm
CE000010895	T06E6.11	None	None	Transmembrane
CE000000457	Y75B8A.7	None	MPP10_HUMAN	Secretory
CE000008110	K11E8.1g.2	None	CSKP_RAT	None
CE000018806	K11E8.1g.1	None	CSKP_RAT	None
CE000023265	ZK484.3.1	None	None	Cytoplasm
CE000011694	B0222.1	None	None	Cytoplasm
CE000000268	Y71F9AL.16	None	ACT2_ECHGR	Mitochondrion
CE000021278	T22C1.9	None	None	Transmembrane
CE000013677	C31G12.1	None	None	Transmembrane
CE000018900	Y57E12AL.6.3	None	None	None
CE000018901	Y57E12AL.6.1	None	None	Cytoplasm
CE000018899	Y57E12AL.6.2	None	None	Secretory
CE000002375	F15H10.6	None	None	Secretory
CE000004595	C48B6.6b	None	SMG1_CAEEL	Transmembrane
CE000005760	F56B6.2a	None	RGS3_HUMAN	Nucleus
CE000006573	C06B3.3	None	CP2J5_MOUSE	Nucleus
CE000004710	F28C10.3	None	AKT3_HUMAN	Mitochondrion
CE000004710	F28C10.3	None	KS6A2_HUMAN	Mitochondrion
CE000004710	F28C10.3	None	AKT1_BOVIN	Mitochondrion
CE000021011	Y106G6A.5	None	None	Secretory
CE000015593	T24A6.13	None	None	Transmembrane
CE000023222	ZC455.10	None	FKBP9_MOUSE	Cytoplasm
CE000016534	C25G4.1	None	SUREJ_STRPU	Transmembrane
CE000024094	F49E11.11	None	CRVP_OPHHA	Cytoplasm
CE000007291	C50F4.12	None	None	Secretory
CE000020443	B0240.4.1	NDC1_CAEEL	NDC1_HUMAN	Transmembrane
CE000020444	B0240.4.2	NDC1_CAEEL	NDC1_HUMAN	Transmembrane
CE000020570	F44E7.8	None	HNF4A_HUMAN	Secretory
CE000025627	F42D1.4	None	None	None
CE000002222	T08G3.5	None	None	Transmembrane
CE000014616	C01F6.2	None	None	Transmembrane
CE000017997	B0303.9	None	VP33A_DROME	Cytoplasm
CE000018062	F20B6.8b	None	HIPK3_HUMAN	Cytoplasm
CE000011878	Y119D3A.2	None	None	Secretory
CE000018799	F39B2.3	None	QOR_MOUSE	Nucleus
CE000011998	C04E6.13	None	None	Cytoplasm
CE000011562	ZC204.11	None	None	Secretory
CE000020391	F48E3.8b	None	TENX_HUMAN	Nucleus
CE000002705	C09H5.7	None	PP12_DROME	Transmembrane
CE000019539	F56D6.12	None	None	None
CE000011753	H21P03.2	None	None	Cytoplasm
CE000016588	F42G10.2	None	MP2K5_RAT	Cytoplasm
CE000007719	T20D3.9	None	None	Transmembrane
CE000004225	Y39B6A.28	None	None	Transmembrane
CE000005273	Y54E10A.6	None	LRRC1_HUMAN	Nucleus
CE000016891	F53H4.4	None	None	Nucleus
CE000016412	Y39G8B.5	None	TBK1_HUMAN	Secretory
CE000003218	T01A4.3	None	None	Cytoplasm
CE000005110	C08F8.2	None	None	Secretory
CE000008073	T27F7.2c	None	None	Nucleus
CE000010204	T05B4.10	None	None	Nucleus
CE000006589	F01E11.5c	YDBM_CAEEL	ADRA2_LABOS	None
CE000021704	C52B9.7b	None	PAFA_CANFA	Transmembrane
CE000016311	T08B2.5e	None	None	Secretory
CE000022995	T10B10.6	None	None	Cytoplasm
CE000011882	C29G2.4	None	None	Transmembrane
CE000020471	Y110A2AL.4a	None	None	Nucleus
CE000015535	C24H10.5	None	CABP1_RAT	Secretory
CE000002167	ZK849.4	None	VMDL3_HUMAN	Transmembrane
CE000022955	F26B1.6	SRG14_CAEEL	None	Transmembrane
CE000005659	F54C8.2	None	HCP3_CAEEL	Cytoplasm
CE000011098	Y45F10C.4	None	None	Cytoplasm
CE000008561	T07A9.2	None	None	Cytoplasm
CE000024303	C27H5.4b	None	None	Transmembrane
CE000000423	F46F2.4	None	None	Mitochondrion
CE000012322	T17E9.2a	NMT_CAEEL	NMT2_HUMAN	Secretory
CE000016911	Y74C10AR.1	None	WDR57_HUMAN	Secretory
CE000009534	C12D5.7	None	CP2CG_RABIT	Cytoplasm
CE000011923	ZC412.5	None	None	Cytoplasm
CE000009066	F57C7.2b	None	SL9A6_HUMAN	Transmembrane
CE000019374	F47B8.5	None	None	Transmembrane
CE000002152	Y110A7A.5	None	MTMR2_HUMAN	Nucleus
CE000007065	T24F1.6b	None	CAC2D_HUMAN	Secretory
CE000009894	F32H5.7	None	None	Transmembrane
CE000018964	ZK1055.6c	None	None	Mitochondrion
CE000015451	C09G12.10	None	None	Transmembrane
CE000015074	F58A6.2	None	None	Transmembrane
CE000004114	T05H4.6.1	ERF1_CAEEL	ERF1_XENLA	None
